,Site,Cert,Link
201,https://hbr.org/,CDP,https://hbr.org/2021/06/to-protect-consumer-data-dont-do-everything-on-the-cloud
202,https://hbr.org/,CDP,https://hbr.org/2015/11/how-marketers-can-personalize-at-scale
203,https://hbr.org/,CDP,https://hbr.org/2022/11/a-guide-to-achieving-net-zero-emissions
204,https://hbr.org/,CDP,https://hbr.org/2022/11/from-droughts-to-floods-water-risk-is-an-urgent-business-issue
205,https://hbr.org/,CDP,https://hbr.org/2022/01/designing-your-companys-sustainability-report
206,https://hbr.org/,CDP,https://hbr.org/2020/03/a-more-sustainable-supply-chain
207,https://hbr.org/,CIS,https://store.hbr.org/product/adidas-russia-cis-and-the-russian-crisis-retrench-or-double-down-a/IMD820
208,https://hbr.org/,CIS,https://hbr.org/2019/03/the-former-ceo-of-dhl-express-on-leading-the-company-through-an-existential-crisis
209,https://hbr.org/,CIS,https://hbr.org/podcast/2019/05/theres-more-to-gender-than-man-and-woman
210,https://hbr.org/,CIS,https://hbr.org/2021/06/stop-saying-diverse-when-you-mean-something-else
211,https://hbr.org/,CIS,https://hbr.org/topic/subject/automation
212,https://hbr.org/,CIS,https://hbr.org/2012/04/the-one-thing-ceos-need-to-lea
213,https://hbr.org/,CIS,https://hbr.org/2021/10/coming-out-as-trans-at-work
214,https://hbr.org/,CIS,https://hbr.org/2016/06/rethinking-what-masculinity-means-at-the-office
215,https://hbr.org/,CIS,https://hbr.org/2011/12/get-ready-for-your-next-assignment
216,https://hbr.org/,CIS,https://hbr.org/2019/04/dont-acquire-a-company-until-you-evaluate-its-data-security
217,https://www.nestle.com/,CDP,https://www.nestle.com/sites/default/files/asset-library/documents/creating-shared-value/environment/programme-response-water-2016.pdf
218,https://www.nestle.com/,CDP,https://www.nestle.com/sites/default/files/2021-03/cdp-nestle-answers-forests-2020.pdf
219,https://www.nestle.com/,CDP,https://www.nestle.com/sites/default/files/2022-03/cdp-nestle-answers-climate-change-2021.pdf
220,https://www.nestle.com/,CDP,https://www.nestle.com/media/news/nestle-recognized-leading-efforts-against-climate-change-cdp
221,https://www.nestle.com/,CDP,https://www.nestle.com/sites/default/files/asset-library/documents/creating-shared-value/cdp-nestle-climate-change-2018.pdf
222,https://www.nestle.com/,CDP,https://www.nestle.com/sites/default/files/2020-01/nestle-answers-cdp-climate-2019.pdf
223,https://www.nestle.com/,CDP,https://www.nestle.com/sites/default/files/2022-03/cdp-nestle-answers-water-security-2021.pdf
224,https://www.nestle.com/,CDP,https://www.nestle.com/sites/default/files/2022-03/cdp-nestle-answers-forests-2021.pdf
225,https://www.nestle.com/,CDP,https://www.nestle.com/sites/default/files/2021-03/cdp-nestle-answers-water-security-2020.pdf
226,https://www.nestle.com/,CDP,https://www.nestle.com/sites/default/files/2021-03/cdp-nestle-answers-climate-change-2020.pdf
